Operator,Working set,Memory use,MACs
MobileNetV3Small_1/expanded_conv_7_add_1/Add,178 188 189,576,48
MobileNetV3Small_1/expanded_conv_8_expand_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_8_expand_1/convolution;,189 190,1344,13824
MobileNetV3Small_1/activation_11_1/mul;;MobileNetV3Small_1/activation_11_1/Relu6;MobileNetV3Small_1/activation_11_1/add;MobileNetV3Small_1/activation_11_1/truediv,190 191,2304,0
MobileNetV3Small_1/expanded_conv_8_depthwise_pad_1/Pad,191 192,2304,0
MobileNetV3Small_1/expanded_conv_8_depthwise_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_8_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Small_1/expanded_conv_8_depthwise_1/depthwise;,192 193,2304,7200
MobileNetV3Small_1/activation_12_1/mul;;MobileNetV3Small_1/activation_12_1/Relu6;MobileNetV3Small_1/activation_12_1/add;MobileNetV3Small_1/activation_12_1/truediv,193 194,2304,0
MobileNetV3Small_1/expanded_conv_8_squeeze_excite_avg_pool_1/Mean,194 195,2304,288
MobileNetV3Small_1/expanded_conv_8_squeeze_excite_relu_1/Relu;MobileNetV3Small_1/expanded_conv_8_squeeze_excite_conv_1/BiasAdd;MobileNetV3Small_1/expanded_conv_8_squeeze_excite_conv_1/convolution;,194 195 196,2592,20736
MobileNetV3Small_1/re_lu_11_1/Relu6;MobileNetV3Small_1/Add_6;MobileNetV3Small_1/expanded_conv_8_squeeze_excite_conv_1_2/BiasAdd;MobileNetV3Small_1/expanded_conv_8_squeeze_excite_conv_1_2/convolution;,194 196 197,2592,20736
MobileNetV3Small_1/Mul_6,197 198 194,3456,0
MobileNetV3Small_1/expanded_conv_8_squeeze_excite_mul_1/Mul,198 199 194,3456,0
MobileNetV3Small_1/expanded_conv_8_project_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_8_project_1/convolution;,199 200,1536,27648
MobileNetV3Small_1/expanded_conv_9_expand_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_9_expand_1/convolution;,200 201,2688,55296
MobileNetV3Small_1/activation_13_1/mul;;MobileNetV3Small_1/activation_13_1/Relu6;MobileNetV3Small_1/activation_13_1/add;MobileNetV3Small_1/activation_13_1/truediv,200 201 202,4992,0
MobileNetV3Small_1/expanded_conv_9_depthwise_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_9_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Small_1/expanded_conv_9_depthwise_1/depthwise;,200 202 203,4992,14400
MobileNetV3Small_1/activation_14_1/mul;;MobileNetV3Small_1/activation_14_1/Relu6;MobileNetV3Small_1/activation_14_1/add;MobileNetV3Small_1/activation_14_1/truediv,200 203 204,4992,0
MobileNetV3Small_1/expanded_conv_9_squeeze_excite_avg_pool_1/Mean,200 204 205,4992,576
MobileNetV3Small_1/expanded_conv_9_squeeze_excite_relu_1/Relu;MobileNetV3Small_1/expanded_conv_9_squeeze_excite_conv_1/BiasAdd;MobileNetV3Small_1/expanded_conv_9_squeeze_excite_conv_1/convolution;,200 204 205 206,5568,82944
MobileNetV3Small_1/re_lu_12_1/Relu6;MobileNetV3Small_1/Add_7;MobileNetV3Small_1/expanded_conv_9_squeeze_excite_conv_1_2/BiasAdd;MobileNetV3Small_1/expanded_conv_9_squeeze_excite_conv_1_2/convolution;,200 204 206 207,5568,82944
MobileNetV3Small_1/Mul_7,200 204 207 208,7296,0
MobileNetV3Small_1/expanded_conv_9_squeeze_excite_mul_1/Mul,200 204 208 209,7296,0
MobileNetV3Small_1/expanded_conv_9_project_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_9_project_1/convolution;,200 209 210,3072,55296
MobileNetV3Small_1/expanded_conv_9_add_1/Add,200 210 211,1152,96
MobileNetV3Small_1/expanded_conv_10_expand_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_10_expand_1/convolution;,211 212,2688,55296
MobileNetV3Small_1/activation_15_1/mul;;MobileNetV3Small_1/activation_15_1/Relu6;MobileNetV3Small_1/activation_15_1/add;MobileNetV3Small_1/activation_15_1/truediv,211 212 213,4992,0
MobileNetV3Small_1/expanded_conv_10_depthwise_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_10_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Small_1/expanded_conv_10_depthwise_1/depthwise;,211 213 214,4992,14400
MobileNetV3Small_1/activation_16_1/mul;;MobileNetV3Small_1/activation_16_1/Relu6;MobileNetV3Small_1/activation_16_1/add;MobileNetV3Small_1/activation_16_1/truediv,211 214 215,4992,0
MobileNetV3Small_1/expanded_conv_10_squeeze_excite_avg_pool_1/Mean,211 215 216,4992,576
MobileNetV3Small_1/expanded_conv_10_squeeze_excite_relu_1/Relu;MobileNetV3Small_1/expanded_conv_10_squeeze_excite_conv_1/BiasAdd;MobileNetV3Small_1/expanded_conv_10_squeeze_excite_conv_1/convolution;,211 215 216 217,5568,82944
MobileNetV3Small_1/re_lu_13_1/Relu6;MobileNetV3Small_1/Add_8;MobileNetV3Small_1/expanded_conv_10_squeeze_excite_conv_1_2/BiasAdd;MobileNetV3Small_1/expanded_conv_10_squeeze_excite_conv_1_2/convolution;,211 215 217 218,5568,82944
MobileNetV3Small_1/Mul_8,211 215 218 219,7296,0
MobileNetV3Small_1/expanded_conv_10_squeeze_excite_mul_1/Mul,211 215 219 220,7296,0
MobileNetV3Small_1/expanded_conv_10_project_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_10_project_1/convolution;,211 220 221,3072,55296
MobileNetV3Small_1/expanded_conv_10_add_1/Add,211 221 222,1152,96
MobileNetV3Small_1/conv_1_bn_1/batchnorm/add_1;MobileNetV3Small_1/conv_1_2/convolution;,222 223,2688,55296
MobileNetV3Small_1/activation_17_1/mul;;MobileNetV3Small_1/activation_17_1/Relu6;MobileNetV3Small_1/activation_17_1/add;MobileNetV3Small_1/activation_17_1/truediv,224 223,4608,0
MobileNetV3Small_1/global_average_pooling2d_1/Mean,224 225,4608,576
MobileNetV3Small_1/conv_2_1/BiasAdd;MobileNetV3Small_1/conv_2_1/convolution;,225 226,6400,589824
MobileNetV3Small_1/activation_18_1/mul;;MobileNetV3Small_1/activation_18_1/Relu6;MobileNetV3Small_1/activation_18_1/add;MobileNetV3Small_1/activation_18_1/truediv,226 227,8192,0
MobileNetV3Small_1/logits_1/BiasAdd;MobileNetV3Small_1/logits_1/convolution;,227 228,8096,1024000
MobileNetV3Small_1/flatten_1/Reshape,228 229,8000,0
StatefulPartitionedCall_1:0,229 230,8000,0
