Id,Name,Shape,Size
347,functional_15_1/tfc3_2_1/sequential_6_1/tf_bottleneck_4_1/tf_conv_22_1/Sigmoid,1 40 40 64,409600
348,functional_15_1/tfc3_2_1/sequential_6_1/tf_bottleneck_4_1/tf_conv_22_1/mul_1,1 40 40 64,409600
349,functional_15_1/tfc3_2_1/sequential_6_1/tf_bottleneck_4_1/add,1 40 40 64,409600
350,functional_15_1/tfc3_2_1/sequential_6_1/tf_bottleneck_5_1/tf_conv_23_1/conv2d_23_1/BiasAdd;functional_15_1/tfc3_2_1/sequential_6_1/tf_bottleneck_5_1/tf_conv_23_1/conv2d_23_1/convolution;,1 40 40 64,409600
351,functional_15_1/tfc3_2_1/sequential_6_1/tf_bottleneck_5_1/tf_conv_23_1/Sigmoid,1 40 40 64,409600
352,functional_15_1/tfc3_2_1/sequential_6_1/tf_bottleneck_5_1/tf_conv_23_1/mul_1,1 40 40 64,409600
353,functional_15_1/tfc3_2_1/sequential_6_1/tf_bottleneck_5_1/tf_conv_24_1/conv2d_24_1/BiasAdd;functional_15_1/tfc3_2_1/sequential_6_1/tf_bottleneck_5_1/tf_conv_24_1/conv2d_24_1/convolution;,1 40 40 64,409600
354,functional_15_1/tfc3_2_1/sequential_6_1/tf_bottleneck_5_1/tf_conv_24_1/Sigmoid,1 40 40 64,409600
355,functional_15_1/tfc3_2_1/sequential_6_1/tf_bottleneck_5_1/tf_conv_24_1/mul_1,1 40 40 64,409600
356,functional_15_1/tfc3_2_1/sequential_6_1/tf_bottleneck_5_1/add,1 40 40 64,409600
357,functional_15_1/tfc3_2_1/tf_conv_17_1/conv2d_17_1/BiasAdd;functional_15_1/tfc3_2_1/tf_conv_17_1/conv2d_17_1/convolution;,1 40 40 64,409600
358,functional_15_1/tfc3_2_1/tf_conv_17_1/Sigmoid,1 40 40 64,409600
359,functional_15_1/tfc3_2_1/tf_conv_17_1/mul_1,1 40 40 64,409600
360,functional_15_1/tfc3_2_1/concat,1 40 40 128,819200
