Id,Name,Shape,Size
522,efficientnetv2-s_1/block5a_activation_1/Sigmoid,1 24 24 768,1769472
523,efficientnetv2-s_1/block5a_activation_1/mul_1,1 24 24 768,1769472
524,efficientnetv2-s_1/block5a_se_squeeze_1/Mean,1 768,3072
525,efficientnetv2-s_1/block5a_se_reshape_1/Shape,2,8
526,efficientnetv2-s_1/block5a_se_reshape_1/strided_slice,,4
527,efficientnetv2-s_1/block5a_se_reshape_1/Reshape/shape,4,16
528,efficientnetv2-s_1/block5a_se_reshape_1/Reshape,1 1 1 768,3072
529,efficientnetv2-s_1/block5a_se_reduce_1/BiasAdd;efficientnetv2-s_1/block5a_se_reduce_1/convolution;efficientnetv2-s_1/block5a_se_reduce_1/Squeeze,1 1 1 32,128
530,efficientnetv2-s_1/block5a_se_reduce_1/Sigmoid,1 1 1 32,128
531,efficientnetv2-s_1/block5a_se_reduce_1/mul_1,1 1 1 32,128
532,efficientnetv2-s_1/block5a_se_expand_1/BiasAdd;efficientnetv2-s_1/block5a_se_expand_1/convolution;efficientnetv2-s_1/block5a_se_expand_1/Squeeze,1 1 1 768,3072
533,efficientnetv2-s_1/block5a_se_expand_1/Sigmoid,1 1 1 768,3072
534,efficientnetv2-s_1/block5a_se_excite_1/Mul,1 24 24 768,1769472
535,efficientnetv2-s_1/block5a_project_bn_1/batchnorm/add_1;efficientnetv2-s_1/block5a_project_conv_1/convolution;efficientnetv2-s_1/block5a_project_bn_1/batchnorm/sub,1 24 24 160,368640
536,efficientnetv2-s_1/block5b_expand_bn_1/batchnorm/add_1;efficientnetv2-s_1/block5b_expand_conv_1/convolution;efficientnetv2-s_1/block5b_expand_bn_1/batchnorm/sub,1 24 24 960,2211840
537,efficientnetv2-s_1/block5b_expand_activation_1/Sigmoid,1 24 24 960,2211840
538,efficientnetv2-s_1/block5b_expand_activation_1/mul_1,1 24 24 960,2211840
539,efficientnetv2-s_1/block5b_bn_1/batchnorm/add_1;efficientnetv2-s_1/block5b_bn_1/batchnorm/mul_1;efficientnetv2-s_1/block5b_dwconv2_1/depthwise;efficientnetv2-s_1/block5b_bn_1/batchnorm/mul;efficientnetv2-s_1/block5b_bn_1/batchnorm/sub,1 24 24 960,2211840
540,efficientnetv2-s_1/block5b_activation_1/Sigmoid,1 24 24 960,2211840
541,efficientnetv2-s_1/block5b_activation_1/mul_1,1 24 24 960,2211840
542,efficientnetv2-s_1/block5b_se_squeeze_1/Mean,1 960,3840
543,efficientnetv2-s_1/block5b_se_reshape_1/Shape,2,8
544,efficientnetv2-s_1/block5b_se_reshape_1/strided_slice,,4
545,efficientnetv2-s_1/block5b_se_reshape_1/Reshape/shape,4,16
546,efficientnetv2-s_1/block5b_se_reshape_1/Reshape,1 1 1 960,3840
547,efficientnetv2-s_1/block5b_se_reduce_1/BiasAdd;efficientnetv2-s_1/block5b_se_reduce_1/convolution;efficientnetv2-s_1/block5b_se_reduce_1/Squeeze,1 1 1 40,160
548,efficientnetv2-s_1/block5b_se_reduce_1/Sigmoid,1 1 1 40,160
549,efficientnetv2-s_1/block5b_se_reduce_1/mul_1,1 1 1 40,160
550,efficientnetv2-s_1/block5b_se_expand_1/BiasAdd;efficientnetv2-s_1/block5b_se_expand_1/convolution;efficientnetv2-s_1/block5b_se_expand_1/Squeeze,1 1 1 960,3840
551,efficientnetv2-s_1/block5b_se_expand_1/Sigmoid,1 1 1 960,3840
552,efficientnetv2-s_1/block5b_se_excite_1/Mul,1 24 24 960,2211840
553,efficientnetv2-s_1/block5b_project_bn_1/batchnorm/add_1;efficientnetv2-s_1/block5b_project_conv_1/convolution;efficientnetv2-s_1/block5b_project_bn_1/batchnorm/sub,1 24 24 160,368640
554,efficientnetv2-s_1/block5b_add_1/Add,1 24 24 160,368640
555,efficientnetv2-s_1/block5c_expand_bn_1/batchnorm/add_1;efficientnetv2-s_1/block5c_expand_conv_1/convolution;efficientnetv2-s_1/block5c_expand_bn_1/batchnorm/sub,1 24 24 960,2211840
556,efficientnetv2-s_1/block5c_expand_activation_1/Sigmoid,1 24 24 960,2211840
557,efficientnetv2-s_1/block5c_expand_activation_1/mul_1,1 24 24 960,2211840
558,efficientnetv2-s_1/block5c_bn_1/batchnorm/add_1;efficientnetv2-s_1/block5c_bn_1/batchnorm/mul_1;efficientnetv2-s_1/block5c_dwconv2_1/depthwise;efficientnetv2-s_1/block5c_bn_1/batchnorm/mul;efficientnetv2-s_1/block5c_bn_1/batchnorm/sub,1 24 24 960,2211840
559,efficientnetv2-s_1/block5c_activation_1/Sigmoid,1 24 24 960,2211840
560,efficientnetv2-s_1/block5c_activation_1/mul_1,1 24 24 960,2211840
561,efficientnetv2-s_1/block5c_se_squeeze_1/Mean,1 960,3840
562,efficientnetv2-s_1/block5c_se_reshape_1/Shape,2,8
563,efficientnetv2-s_1/block5c_se_reshape_1/strided_slice,,4
564,efficientnetv2-s_1/block5c_se_reshape_1/Reshape/shape,4,16
565,efficientnetv2-s_1/block5c_se_reshape_1/Reshape,1 1 1 960,3840
566,efficientnetv2-s_1/block5c_se_reduce_1/BiasAdd;efficientnetv2-s_1/block5c_se_reduce_1/convolution;efficientnetv2-s_1/block5c_se_reduce_1/Squeeze,1 1 1 40,160
567,efficientnetv2-s_1/block5c_se_reduce_1/Sigmoid,1 1 1 40,160
568,efficientnetv2-s_1/block5c_se_reduce_1/mul_1,1 1 1 40,160
569,efficientnetv2-s_1/block5c_se_expand_1/BiasAdd;efficientnetv2-s_1/block5c_se_expand_1/convolution;efficientnetv2-s_1/block5c_se_expand_1/Squeeze,1 1 1 960,3840
570,efficientnetv2-s_1/block5c_se_expand_1/Sigmoid,1 1 1 960,3840
571,efficientnetv2-s_1/block5c_se_excite_1/Mul,1 24 24 960,2211840
572,efficientnetv2-s_1/block5c_project_bn_1/batchnorm/add_1;efficientnetv2-s_1/block5c_project_conv_1/convolution;efficientnetv2-s_1/block5c_project_bn_1/batchnorm/sub,1 24 24 160,368640
573,efficientnetv2-s_1/block5c_add_1/Add,1 24 24 160,368640
574,efficientnetv2-s_1/block5d_expand_bn_1/batchnorm/add_1;efficientnetv2-s_1/block5d_expand_conv_1/convolution;efficientnetv2-s_1/block5d_expand_bn_1/batchnorm/sub,1 24 24 960,2211840
575,efficientnetv2-s_1/block5d_expand_activation_1/Sigmoid,1 24 24 960,2211840
576,efficientnetv2-s_1/block5d_expand_activation_1/mul_1,1 24 24 960,2211840
577,efficientnetv2-s_1/block5d_bn_1/batchnorm/add_1;efficientnetv2-s_1/block5d_bn_1/batchnorm/mul_1;efficientnetv2-s_1/block5d_dwconv2_1/depthwise;efficientnetv2-s_1/block5d_bn_1/batchnorm/mul;efficientnetv2-s_1/block5d_bn_1/batchnorm/sub,1 24 24 960,2211840
