Operator,Working set,Memory use,MACs
MobileNetV3Large_1/expanded_conv_10_squeeze_excite_relu_1/Relu;MobileNetV3Large_1/expanded_conv_10_squeeze_excite_conv_1/BiasAdd;MobileNetV3Large_1/expanded_conv_10_squeeze_excite_conv_1/convolution;,205 206 207,4320,57600
MobileNetV3Large_1/re_lu_14_1/Relu6;MobileNetV3Large_1/Add_3;MobileNetV3Large_1/expanded_conv_10_squeeze_excite_conv_1_2/BiasAdd;MobileNetV3Large_1/expanded_conv_10_squeeze_excite_conv_1_2/convolution;,208 205 207,4320,57600
MobileNetV3Large_1/Mul_3,208 209 205,5760,0
MobileNetV3Large_1/expanded_conv_10_squeeze_excite_mul_1/Mul,209 210 205,5760,0
MobileNetV3Large_1/expanded_conv_10_project_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_10_project_1/convolution;,210 211,2368,53760
MobileNetV3Large_1/expanded_conv_11_expand_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_11_expand_1/convolution;,212 211,3136,75264
MobileNetV3Large_1/activation_11_1/mul;;MobileNetV3Large_1/activation_11_1/Relu6;MobileNetV3Large_1/activation_11_1/add;MobileNetV3Large_1/activation_11_1/truediv,212 213 211,5824,0
MobileNetV3Large_1/expanded_conv_11_depthwise_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_11_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Large_1/expanded_conv_11_depthwise_1/depthwise;,213 214 211,5824,6048
MobileNetV3Large_1/activation_12_1/mul;;MobileNetV3Large_1/activation_12_1/Relu6;MobileNetV3Large_1/activation_12_1/add;MobileNetV3Large_1/activation_12_1/truediv,214 215 211,5824,0
MobileNetV3Large_1/expanded_conv_11_squeeze_excite_avg_pool_1/Mean,215 211 216,5824,672
MobileNetV3Large_1/expanded_conv_11_squeeze_excite_relu_1/Relu;MobileNetV3Large_1/expanded_conv_11_squeeze_excite_conv_1/BiasAdd;MobileNetV3Large_1/expanded_conv_11_squeeze_excite_conv_1/convolution;,215 211 216 217,6496,112896
