Id,Name,Shape,Size
200,MobileNetV3Large_1/expanded_conv_9_project_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_9_project_1/convolution;,1 1 1 80,320
201,MobileNetV3Large_1/expanded_conv_9_add_1/Add,1 1 1 80,320
202,MobileNetV3Large_1/expanded_conv_10_expand_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_10_expand_1/convolution;,1 1 1 480,1920
203,MobileNetV3Large_1/activation_9_1/mul;;MobileNetV3Large_1/activation_9_1/Relu6;MobileNetV3Large_1/activation_9_1/add;MobileNetV3Large_1/activation_9_1/truediv,1 1 1 480,1920
204,MobileNetV3Large_1/expanded_conv_10_depthwise_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_10_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Large_1/expanded_conv_10_depthwise_1/depthwise;,1 1 1 480,1920
205,MobileNetV3Large_1/activation_10_1/mul;;MobileNetV3Large_1/activation_10_1/Relu6;MobileNetV3Large_1/activation_10_1/add;MobileNetV3Large_1/activation_10_1/truediv,1 1 1 480,1920
206,MobileNetV3Large_1/expanded_conv_10_squeeze_excite_avg_pool_1/Mean,1 1 1 480,1920
207,MobileNetV3Large_1/expanded_conv_10_squeeze_excite_relu_1/Relu;MobileNetV3Large_1/expanded_conv_10_squeeze_excite_conv_1/BiasAdd;MobileNetV3Large_1/expanded_conv_10_squeeze_excite_conv_1/convolution;,1 1 1 120,480
208,MobileNetV3Large_1/re_lu_14_1/Relu6;MobileNetV3Large_1/Add_3;MobileNetV3Large_1/expanded_conv_10_squeeze_excite_conv_1_2/BiasAdd;MobileNetV3Large_1/expanded_conv_10_squeeze_excite_conv_1_2/convolution;,1 1 1 480,1920
209,MobileNetV3Large_1/Mul_3,1 1 1 480,1920
210,MobileNetV3Large_1/expanded_conv_10_squeeze_excite_mul_1/Mul,1 1 1 480,1920
211,MobileNetV3Large_1/expanded_conv_10_project_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_10_project_1/convolution;,1 1 1 112,448
212,MobileNetV3Large_1/expanded_conv_11_expand_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_11_expand_1/convolution;,1 1 1 672,2688
213,MobileNetV3Large_1/activation_11_1/mul;;MobileNetV3Large_1/activation_11_1/Relu6;MobileNetV3Large_1/activation_11_1/add;MobileNetV3Large_1/activation_11_1/truediv,1 1 1 672,2688
214,MobileNetV3Large_1/expanded_conv_11_depthwise_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_11_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Large_1/expanded_conv_11_depthwise_1/depthwise;,1 1 1 672,2688
215,MobileNetV3Large_1/activation_12_1/mul;;MobileNetV3Large_1/activation_12_1/Relu6;MobileNetV3Large_1/activation_12_1/add;MobileNetV3Large_1/activation_12_1/truediv,1 1 1 672,2688
216,MobileNetV3Large_1/expanded_conv_11_squeeze_excite_avg_pool_1/Mean,1 1 1 672,2688
217,MobileNetV3Large_1/expanded_conv_11_squeeze_excite_relu_1/Relu;MobileNetV3Large_1/expanded_conv_11_squeeze_excite_conv_1/BiasAdd;MobileNetV3Large_1/expanded_conv_11_squeeze_excite_conv_1/convolution;,1 1 1 168,672
218,MobileNetV3Large_1/re_lu_15_1/Relu6;MobileNetV3Large_1/Add_4;MobileNetV3Large_1/expanded_conv_11_squeeze_excite_conv_1_2/BiasAdd;MobileNetV3Large_1/expanded_conv_11_squeeze_excite_conv_1_2/convolution;,1 1 1 672,2688
219,MobileNetV3Large_1/Mul_4,1 1 1 672,2688
220,MobileNetV3Large_1/expanded_conv_11_squeeze_excite_mul_1/Mul,1 1 1 672,2688
221,MobileNetV3Large_1/expanded_conv_11_project_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_11_project_1/convolution;,1 1 1 112,448
222,MobileNetV3Large_1/expanded_conv_11_add_1/Add,1 1 1 112,448
223,MobileNetV3Large_1/expanded_conv_12_expand_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_12_expand_1/convolution;,1 1 1 672,2688
224,MobileNetV3Large_1/activation_13_1/mul;;MobileNetV3Large_1/activation_13_1/Relu6;MobileNetV3Large_1/activation_13_1/add;MobileNetV3Large_1/activation_13_1/truediv,1 1 1 672,2688
225,MobileNetV3Large_1/expanded_conv_12_depthwise_pad_1/Pad,1 1 1 672,2688
226,MobileNetV3Large_1/expanded_conv_12_depthwise_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_12_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Large_1/expanded_conv_12_depthwise_1/depthwise;,1 1 1 672,2688
227,MobileNetV3Large_1/activation_14_1/mul;;MobileNetV3Large_1/activation_14_1/Relu6;MobileNetV3Large_1/activation_14_1/add;MobileNetV3Large_1/activation_14_1/truediv,1 1 1 672,2688
228,MobileNetV3Large_1/expanded_conv_12_squeeze_excite_avg_pool_1/Mean,1 1 1 672,2688
229,MobileNetV3Large_1/expanded_conv_12_squeeze_excite_relu_1/Relu;MobileNetV3Large_1/expanded_conv_12_squeeze_excite_conv_1/BiasAdd;MobileNetV3Large_1/expanded_conv_12_squeeze_excite_conv_1/convolution;,1 1 1 168,672
230,MobileNetV3Large_1/re_lu_16_1/Relu6;MobileNetV3Large_1/Add_5;MobileNetV3Large_1/expanded_conv_12_squeeze_excite_conv_1_2/BiasAdd;MobileNetV3Large_1/expanded_conv_12_squeeze_excite_conv_1_2/convolution;,1 1 1 672,2688
231,MobileNetV3Large_1/Mul_5,1 1 1 672,2688
232,MobileNetV3Large_1/expanded_conv_12_squeeze_excite_mul_1/Mul,1 1 1 672,2688
233,MobileNetV3Large_1/expanded_conv_12_project_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_12_project_1/convolution;,1 1 1 160,640
234,MobileNetV3Large_1/expanded_conv_13_expand_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_13_expand_1/convolution;,1 1 1 960,3840
235,MobileNetV3Large_1/activation_15_1/mul;;MobileNetV3Large_1/activation_15_1/Relu6;MobileNetV3Large_1/activation_15_1/add;MobileNetV3Large_1/activation_15_1/truediv,1 1 1 960,3840
236,MobileNetV3Large_1/expanded_conv_13_depthwise_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_13_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Large_1/expanded_conv_13_depthwise_1/depthwise;,1 1 1 960,3840
237,MobileNetV3Large_1/activation_16_1/mul;;MobileNetV3Large_1/activation_16_1/Relu6;MobileNetV3Large_1/activation_16_1/add;MobileNetV3Large_1/activation_16_1/truediv,1 1 1 960,3840
238,MobileNetV3Large_1/expanded_conv_13_squeeze_excite_avg_pool_1/Mean,1 1 1 960,3840
239,MobileNetV3Large_1/expanded_conv_13_squeeze_excite_relu_1/Relu;MobileNetV3Large_1/expanded_conv_13_squeeze_excite_conv_1/BiasAdd;MobileNetV3Large_1/expanded_conv_13_squeeze_excite_conv_1/convolution;,1 1 1 240,960
240,MobileNetV3Large_1/re_lu_17_1/Relu6;MobileNetV3Large_1/Add_6;MobileNetV3Large_1/expanded_conv_13_squeeze_excite_conv_1_2/BiasAdd;MobileNetV3Large_1/expanded_conv_13_squeeze_excite_conv_1_2/convolution;,1 1 1 960,3840
241,MobileNetV3Large_1/Mul_6,1 1 1 960,3840
242,MobileNetV3Large_1/expanded_conv_13_squeeze_excite_mul_1/Mul,1 1 1 960,3840
243,MobileNetV3Large_1/expanded_conv_13_project_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_13_project_1/convolution;,1 1 1 160,640
244,MobileNetV3Large_1/expanded_conv_13_add_1/Add,1 1 1 160,640
245,MobileNetV3Large_1/expanded_conv_14_expand_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_14_expand_1/convolution;,1 1 1 960,3840
246,MobileNetV3Large_1/activation_17_1/mul;;MobileNetV3Large_1/activation_17_1/Relu6;MobileNetV3Large_1/activation_17_1/add;MobileNetV3Large_1/activation_17_1/truediv,1 1 1 960,3840
247,MobileNetV3Large_1/expanded_conv_14_depthwise_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_14_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Large_1/expanded_conv_14_depthwise_1/depthwise;,1 1 1 960,3840
248,MobileNetV3Large_1/activation_18_1/mul;;MobileNetV3Large_1/activation_18_1/Relu6;MobileNetV3Large_1/activation_18_1/add;MobileNetV3Large_1/activation_18_1/truediv,1 1 1 960,3840
249,MobileNetV3Large_1/expanded_conv_14_squeeze_excite_avg_pool_1/Mean,1 1 1 960,3840
250,MobileNetV3Large_1/expanded_conv_14_squeeze_excite_relu_1/Relu;MobileNetV3Large_1/expanded_conv_14_squeeze_excite_conv_1/BiasAdd;MobileNetV3Large_1/expanded_conv_14_squeeze_excite_conv_1/convolution;,1 1 1 240,960
251,MobileNetV3Large_1/re_lu_18_1/Relu6;MobileNetV3Large_1/Add_7;MobileNetV3Large_1/expanded_conv_14_squeeze_excite_conv_1_2/BiasAdd;MobileNetV3Large_1/expanded_conv_14_squeeze_excite_conv_1_2/convolution;,1 1 1 960,3840
252,MobileNetV3Large_1/Mul_7,1 1 1 960,3840
253,MobileNetV3Large_1/expanded_conv_14_squeeze_excite_mul_1/Mul,1 1 1 960,3840
254,MobileNetV3Large_1/expanded_conv_14_project_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_14_project_1/convolution;,1 1 1 160,640
255,MobileNetV3Large_1/expanded_conv_14_add_1/Add,1 1 1 160,640
256,MobileNetV3Large_1/conv_1_bn_1/batchnorm/add_1;MobileNetV3Large_1/conv_1_2/convolution;,1 1 1 960,3840
257,MobileNetV3Large_1/activation_19_1/mul;;MobileNetV3Large_1/activation_19_1/Relu6;MobileNetV3Large_1/activation_19_1/add;MobileNetV3Large_1/activation_19_1/truediv,1 1 1 960,3840
258,MobileNetV3Large_1/global_average_pooling2d_1/Mean,1 1 1 960,3840
259,MobileNetV3Large_1/conv_2_1/BiasAdd;MobileNetV3Large_1/conv_2_1/convolution;,1 1 1 1280,5120
260,MobileNetV3Large_1/activation_20_1/mul;;MobileNetV3Large_1/activation_20_1/Relu6;MobileNetV3Large_1/activation_20_1/add;MobileNetV3Large_1/activation_20_1/truediv,1 1 1 1280,5120
261,MobileNetV3Large_1/logits_1/BiasAdd;MobileNetV3Large_1/logits_1/convolution;,1 1 1 1000,4000
262,MobileNetV3Large_1/flatten_1/Reshape,1 1000,4000
263,StatefulPartitionedCall_1:0,1 1000,4000
